,reaction_id,subsystem
0,r_0001_EXP_1,Pyruvate metabolism
1,r_0001_EXP_2,Pyruvate metabolism
2,r_0001_EXP_3,Pyruvate metabolism
3,r_0001_EXP_4,Pyruvate metabolism
4,r_0002_EXP_1,Pyruvate metabolism
5,r_0002_EXP_2,Pyruvate metabolism
6,r_0003,Butanoate metabolism
7,r_0003_REV,Butanoate metabolism
8,r_0004_EXP_1,Pyruvate metabolism
9,r_0004_EXP_2,Pyruvate metabolism
10,r_0005_EXP_1,Starch and sucrose metabolism
11,r_0005_EXP_2,Starch and sucrose metabolism
12,r_0005_EXP_3,Starch and sucrose metabolism
13,r_0006_EXP_1,Starch and sucrose metabolism
14,r_0006_EXP_2,Starch and sucrose metabolism
15,r_0007,Histidine metabolism
16,r_0012,"Alanine, aspartate and glutamate metabolism"
17,r_0013,Cysteine and methionine metabolism
18,r_0014,Riboflavin metabolism
19,r_0015,Riboflavin metabolism
20,r_0016_EXP_1,"Valine, leucine and isoleucine metabolism"
21,r_0016_EXP_2,"Valine, leucine and isoleucine metabolism"
22,r_0017,Folate biosynthesis
23,r_0018_EXP_1,Lysine metabolism
24,r_0018_EXP_2,Lysine metabolism
25,r_0018_EXP_3,Lysine metabolism
26,r_0018_REV_EXP_1,Lysine metabolism
27,r_0018_REV_EXP_2,Lysine metabolism
28,r_0018_REV_EXP_3,Lysine metabolism
29,r_0019,Pantothenate and coa biosynthesis
30,r_0020_EXP_1,"Phenylalanine, tyrosine and tryptophan biosynthesis"
31,r_0020_EXP_2,"Phenylalanine, tyrosine and tryptophan biosynthesis"
32,r_0021,Ubiquinone and other terpenoid-quinone biosynthesis
33,r_0022,Ubiquinone and other terpenoid-quinone biosynthesis
34,r_0023,"Valine, leucine and isoleucine metabolism"
35,r_0023_REV,"Valine, leucine and isoleucine metabolism"
36,r_0024_EXP_1,"Valine, leucine and isoleucine metabolism"
37,r_0024_EXP_2,"Valine, leucine and isoleucine metabolism"
38,r_0025,"Valine, leucine and isoleucine metabolism"
39,r_0026_EXP_1,Cysteine and methionine metabolism
40,r_0026_EXP_2,Cysteine and methionine metabolism
41,r_0026_EXP_3,Cysteine and methionine metabolism
42,r_0026_EXP_4,Cysteine and methionine metabolism
43,r_0027,Lysine metabolism
44,r_0027_REV,Lysine metabolism
45,r_0028,Propanoate metabolism
46,r_0029,"Valine, leucine and isoleucine metabolism"
47,r_0030,"Valine, leucine and isoleucine metabolism"
48,r_0032,Sulfur metabolism
49,r_0033_EXP_1,Purine metabolism
50,r_0033_EXP_2,Purine metabolism
51,r_0034,Purine metabolism
52,r_0035,Purine metabolism
53,r_0036,Purine metabolism
54,r_0037,Purine metabolism
55,r_0038,Riboflavin metabolism
56,r_0039,"Phenylalanine, tyrosine and tryptophan biosynthesis"
57,r_0040,"Phenylalanine, tyrosine and tryptophan biosynthesis"
58,r_0041,Sphingolipid metabolism
59,r_0042_EXP_1,"Phenylalanine, tyrosine and tryptophan biosynthesis"
60,r_0042_EXP_2,"Phenylalanine, tyrosine and tryptophan biosynthesis"
61,r_0043_EXP_1,Ubiquinone and other terpenoid-quinone biosynthesis
62,r_0043_EXP_2,Ubiquinone and other terpenoid-quinone biosynthesis
63,r_0044,Ubiquinone and other terpenoid-quinone biosynthesis
64,r_0045,Tryptophan metabolism
65,r_0057,Fatty acid degradation
66,r_0058,Tryptophan metabolism
