,reaction_id,subsystem
67,r_0059,Complex alcohol metabolism
68,r_0060,"Valine, leucine and isoleucine metabolism"
69,r_0060_REV,"Valine, leucine and isoleucine metabolism"
70,r_0061,"Valine, leucine and isoleucine metabolism"
71,r_0062_EXP_1,Complex alcohol metabolism
72,r_0062_EXP_2,Complex alcohol metabolism
73,r_0062_EXP_3,Complex alcohol metabolism
74,r_0063,Pantothenate and coa biosynthesis
75,r_0064_EXP_1,Complex alcohol metabolism
76,r_0064_EXP_2,Complex alcohol metabolism
77,r_0064_EXP_3,Complex alcohol metabolism
78,r_0064_EXP_4,Complex alcohol metabolism
79,r_0065,"Phenylalanine, tyrosine and tryptophan biosynthesis"
80,r_0066,Folate biosynthesis
81,r_0067,Folate biosynthesis
82,r_0068,"Alanine, aspartate and glutamate metabolism"
83,r_0069,Vitamin b6 metabolism
84,r_0070,Ubiquinone and other terpenoid-quinone biosynthesis
85,r_0072,Complex alcohol metabolism
86,r_0073_EXP_1,Inositol phosphate metabolism
87,r_0073_EXP_2,Inositol phosphate metabolism
88,r_0074,Phosphatidylinositol signaling system
89,r_0075,Cysteine and methionine metabolism
90,r_0076_EXP_1,Nicotinate and nicotinamide metabolism
91,r_0076_EXP_2,Nicotinate and nicotinamide metabolism
92,r_0077,Purine metabolism
93,r_0078_EXP_1,Nicotinate and nicotinamide metabolism
94,r_0078_EXP_2,Nicotinate and nicotinamide metabolism
95,r_0079,Purine metabolism
96,r_0080_EXP_1,One carbon pool by folate
97,r_0080_EXP_2,One carbon pool by folate
98,r_0081,Porphyrin and chlorophyll metabolism
99,r_0082,Inositol phosphate metabolism
100,r_0083,Phosphatidylinositol signaling system
101,r_0084,One carbon pool by folate
102,r_0085,Cysteine and methionine metabolism
103,r_0086,Cysteine and methionine metabolism
104,r_0087,Cysteine and methionine metabolism
105,r_0087_REV,Cysteine and methionine metabolism
106,r_0088,Inositol phosphate metabolism
107,r_0088_REV,Inositol phosphate metabolism
108,r_0089,Inositol phosphate metabolism
109,r_0089_REV,Inositol phosphate metabolism
110,r_0090_EXP_1,Fructose and mannose metabolism
111,r_0090_EXP_2,Fructose and mannose metabolism
112,r_0091_EXP_1,Pentose phosphate pathway
113,r_0091_EXP_2,Pentose phosphate pathway
114,r_0092_EXP_1,Inositol phosphate metabolism
115,r_0092_EXP_2,Inositol phosphate metabolism
116,r_0093,Phosphatidylinositol signaling system
117,r_0094,Biotin metabolism
118,r_0095_EXP_1,Butanoate metabolism
119,r_0095_EXP_2,Butanoate metabolism
120,r_0095_EXP_3,Butanoate metabolism
121,r_0096,"Valine, leucine and isoleucine metabolism"
122,r_0097_EXP_1,"Valine, leucine and isoleucine metabolism"
123,r_0097_EXP_2,"Valine, leucine and isoleucine metabolism"
124,r_0099,Fatty acid biosynthesis
125,r_0099_REV,Fatty acid biosynthesis
126,r_0100,Fatty acid degradation
127,r_0101,Fatty acid degradation
128,r_0102,Fatty acid degradation
129,r_0103,Fatty acid degradation
130,r_0103_REV,Fatty acid degradation
131,r_0104,Fatty acid degradation
132,r_0104_REV,Fatty acid degradation
133,r_0105,Fatty acid degradation
134,r_0106,Fatty acid degradation
135,r_0107,Fatty acid degradation
136,r_0108,Fatty acid biosynthesis
137,r_0109,Fatty acid biosynthesis
138,r_0111,Pyruvate metabolism
139,r_0112_EXP_1,Pyruvate metabolism
140,r_0112_EXP_2,Pyruvate metabolism
141,r_0113,Pyruvate metabolism
142,r_0114,Pyruvate metabolism
143,r_0115,Arginine biosynthesis
144,r_0116_EXP_1,Riboflavin metabolism
145,r_0116_EXP_2,Riboflavin metabolism
146,r_0116_EXP_3,Riboflavin metabolism
147,r_0116_EXP_4,Riboflavin metabolism
148,r_0117,Propanoate metabolism
149,r_0117_REV,Propanoate metabolism
150,r_0118,Arginine biosynthesis
151,r_0119,Pantothenate and coa biosynthesis
152,r_0120,Fatty acid degradation
153,r_0121,Fatty acid degradation
154,r_0122,Fatty acid degradation
155,r_0123,Fatty acid degradation
156,r_0124,Fatty acid degradation
157,r_0125,Fatty acid degradation
158,r_0126,Steroid biosynthesis
159,r_0126_REV,Steroid biosynthesis
160,r_0127_EXP_1,Steroid biosynthesis
161,r_0127_EXP_2,Steroid biosynthesis
162,r_0128,Steroid biosynthesis
163,r_0128_REV,Steroid biosynthesis
164,r_0129,Steroid biosynthesis
165,r_0130,Steroid biosynthesis
166,r_0130_REV,Steroid biosynthesis
167,r_0131,Steroid biosynthesis
168,r_0131_REV,Steroid biosynthesis
169,r_0132_EXP_1,Steroid biosynthesis
170,r_0132_EXP_2,Steroid biosynthesis
171,r_0132_REV_EXP_1,Steroid biosynthesis
172,r_0132_REV_EXP_2,Steroid biosynthesis
173,r_0133,Steroid biosynthesis
174,r_0133_REV,Steroid biosynthesis
175,r_0134,Steroid biosynthesis
176,r_0134_REV,Steroid biosynthesis
177,r_0135,Steroid biosynthesis
178,r_0135_REV,Steroid biosynthesis
179,r_0137,Glycosylphosphatidylinositol (gpi)-anchor biosynthesis
180,r_0137_REV,Glycosylphosphatidylinositol (gpi)-anchor biosynthesis
181,r_0138,Purine metabolism
182,r_0139_EXP_1,Purine metabolism
183,r_0139_EXP_2,Purine metabolism
184,r_0140,Purine metabolism
185,r_0142,Purine metabolism
186,r_0143,Purine metabolism
187,r_0144,Cysteine and methionine metabolism
188,r_0145,Arginine and proline metabolism
189,r_0146,Biotin metabolism
190,r_0146_REV,Biotin metabolism
191,r_0147,Purine metabolism
192,r_0148_EXP_1,Purine metabolism
193,r_0148_EXP_2,Purine metabolism
194,r_0149,Purine metabolism
195,r_0150,Purine metabolism
196,r_0150_REV,Purine metabolism
197,r_0151,Purine metabolism
198,r_0152,Purine metabolism
199,r_0152_REV,Purine metabolism
200,r_0153,Purine metabolism
201,r_0154,Sulfur metabolism
202,r_0155,Cyclic nucleotide metabolism
203,r_0156,"Alanine, aspartate and glutamate metabolism"
204,r_0157,tRNA metabolism
205,r_0158_EXP_1,Complex alcohol metabolism
206,r_0158_EXP_2,Complex alcohol metabolism
207,r_0159_EXP_1,Complex alcohol metabolism
208,r_0159_EXP_2,Complex alcohol metabolism
209,r_0160_EXP_1,Complex alcohol metabolism
210,r_0160_EXP_2,Complex alcohol metabolism
211,r_0161_EXP_1,Complex alcohol metabolism
212,r_0161_EXP_2,Complex alcohol metabolism
213,r_0162_EXP_1,Complex alcohol metabolism
214,r_0162_EXP_2,Complex alcohol metabolism
215,r_0163,Glycolysis / gluconeogenesis
216,r_0164_EXP_1,Glycerolipid metabolism
217,r_0164_EXP_2,Glycerolipid metabolism
218,r_0165_EXP_1,Glycolysis / gluconeogenesis
219,r_0165_EXP_2,Glycolysis / gluconeogenesis
220,r_0166_EXP_1,Complex alcohol metabolism
221,r_0166_EXP_2,Complex alcohol metabolism
222,r_0166_EXP_3,Complex alcohol metabolism
223,r_0167_EXP_1,Complex alcohol metabolism
224,r_0167_EXP_2,Complex alcohol metabolism
225,r_0168_EXP_1,Complex alcohol metabolism
226,r_0168_EXP_2,Complex alcohol metabolism
227,r_0168_EXP_3,Complex alcohol metabolism
228,r_0169_EXP_1,Phenylalanine metabolism
229,r_0169_EXP_2,Phenylalanine metabolism
230,r_0169_EXP_3,Phenylalanine metabolism
231,r_0170_EXP_1,Phenylalanine metabolism
232,r_0170_EXP_2,Phenylalanine metabolism
233,r_0171_EXP_1,Phenylalanine metabolism
234,r_0171_EXP_2,Phenylalanine metabolism
235,r_0172_EXP_1,Beta-alanine metabolism
236,r_0172_EXP_2,Beta-alanine metabolism
237,r_0172_EXP_3,Beta-alanine metabolism
238,r_0173,Glycolysis / gluconeogenesis
239,r_0174,Glycolysis / gluconeogenesis
240,r_0175_EXP_1,Pyruvate metabolism
241,r_0175_EXP_2,Pyruvate metabolism
242,r_0176,Tryptophan metabolism
243,r_0177,Tryptophan metabolism
244,r_0178_EXP_1,Tryptophan metabolism
245,r_0178_EXP_2,Tryptophan metabolism
246,r_0179_EXP_1,Complex alcohol metabolism
247,r_0179_EXP_2,Complex alcohol metabolism
248,r_0179_EXP_3,Complex alcohol metabolism
249,r_0180_EXP_1,Complex alcohol metabolism
250,r_0180_EXP_2,Complex alcohol metabolism
251,r_0181_EXP_1,Complex alcohol metabolism
252,r_0181_EXP_2,Complex alcohol metabolism
253,r_0182_EXP_1,Complex alcohol metabolism
254,r_0182_EXP_2,Complex alcohol metabolism
255,r_0182_EXP_3,Complex alcohol metabolism
256,r_0183_EXP_1,Complex alcohol metabolism
257,r_0183_EXP_2,Complex alcohol metabolism
258,r_0184_EXP_1,Complex alcohol metabolism
259,r_0184_EXP_2,Complex alcohol metabolism
260,r_0185_EXP_1,Phenylalanine metabolism
261,r_0185_EXP_2,Phenylalanine metabolism
262,r_0186_EXP_1,Tyrosine metabolism
263,r_0186_EXP_2,Tyrosine metabolism
264,r_0186_EXP_3,Tyrosine metabolism
265,r_0187_EXP_1,Tyrosine metabolism
266,r_0187_EXP_2,Tyrosine metabolism
267,r_0188,Folate biosynthesis
268,r_0189,Purine metabolism
269,r_0189_REV,Purine metabolism
270,r_0190,Purine metabolism
271,r_0190_REV,Purine metabolism
272,r_0191,Arginine biosynthesis
273,r_0192_EXP_1,N-glycan biosynthesis
274,r_0192_EXP_2,N-glycan biosynthesis
275,r_0192_EXP_3,N-glycan biosynthesis
276,r_0192_EXP_4,N-glycan biosynthesis
277,r_0192_EXP_5,N-glycan biosynthesis
278,r_0192_EXP_6,N-glycan biosynthesis
279,r_0192_EXP_7,N-glycan biosynthesis
280,r_0192_EXP_8,N-glycan biosynthesis
281,r_0193_EXP_1,Starch and sucrose metabolism
282,r_0193_EXP_2,Starch and sucrose metabolism
283,r_0194,Starch and sucrose metabolism
284,r_0195_EXP_1,Starch and sucrose metabolism
285,r_0195_EXP_2,Starch and sucrose metabolism
286,r_0198_EXP_1,Starch and sucrose metabolism
287,r_0198_EXP_2,Starch and sucrose metabolism
288,r_0198_EXP_3,Starch and sucrose metabolism
289,r_0198_EXP_4,Starch and sucrose metabolism
290,r_0198_EXP_5,Starch and sucrose metabolism
291,r_0198_EXP_6,Starch and sucrose metabolism
292,r_0199_EXP_1,Arginine and proline metabolism
293,r_0199_EXP_2,Arginine and proline metabolism
294,r_0200,"Glycine, serine and threonine metabolism"
295,r_0201,Arginine and proline metabolism
296,r_0202,"Phenylalanine, tyrosine and tryptophan biosynthesis"
297,r_0203,"Phenylalanine, tyrosine and tryptophan biosynthesis"
298,r_0204,Purine metabolism
299,r_0204_REV,Purine metabolism
300,r_0205,Pentose and glucuronate interconversions
301,r_0206,Arginine biosynthesis
302,r_0207,Arginine biosynthesis
303,r_0207_REV,Arginine biosynthesis
304,r_0208,Arginine biosynthesis
305,r_0208_REV,Arginine biosynthesis
306,r_0209,tRNA metabolism
307,r_0210,tRNA metabolism
308,r_0211_EXP_1,"Alanine, aspartate and glutamate metabolism"
309,r_0211_EXP_2,"Alanine, aspartate and glutamate metabolism"
310,r_0212,tRNA metabolism
311,r_0213,tRNA metabolism
312,r_0214,Pyrimidine metabolism
313,r_0215,"Glycine, serine and threonine metabolism"
314,r_0216,"Alanine, aspartate and glutamate metabolism"
315,r_0216_REV,"Alanine, aspartate and glutamate metabolism"
316,r_0217,"Alanine, aspartate and glutamate metabolism"
317,r_0218,"Alanine, aspartate and glutamate metabolism"
318,r_0218_REV,"Alanine, aspartate and glutamate metabolism"
319,r_0219,"Glycine, serine and threonine metabolism"
320,r_0220,tRNA metabolism
321,r_0221,tRNA metabolism
322,r_0222,Purine metabolism
323,r_0223,Purine metabolism
324,r_0224,Purine metabolism
325,r_0225,Histidine metabolism
326,r_0226,Oxidative phosphorylation
327,r_0227_EXP_1,"Transport [c, e]"
328,r_0227_EXP_2,"Transport [c, e]"
329,r_0227_EXP_3,"Transport [c, e]"
330,r_0228,N-glycan biosynthesis
331,r_0229,Biotin metabolism
332,r_0229_REV,Biotin metabolism
333,r_0230,Biotin metabolism
334,r_0231,Steroid biosynthesis
335,r_0233,Steroid biosynthesis
336,r_0234,Steroid biosynthesis
337,r_0235,Steroid biosynthesis
338,r_0236,Steroid biosynthesis
339,r_0237,Steroid biosynthesis
340,r_0238,Steroid biosynthesis
341,r_0239,Steroid biosynthesis
342,r_0240,Steroid biosynthesis
343,r_0241,Steroid biosynthesis
344,r_0242,Steroid biosynthesis
345,r_0243,Steroid biosynthesis
346,r_0244,Steroid biosynthesis
347,r_0249,Terpenoid backbone biosynthesis
348,r_0250,Pyrimidine metabolism
349,r_0252_EXP_1,Carnitine metabolism
350,r_0252_EXP_2,Carnitine metabolism
351,r_0253,Carnitine metabolism
352,r_0254,Carnitine metabolism
353,r_0255,Glyoxylate and dicarboxylate metabolism
354,r_0256,Glyoxylate and dicarboxylate metabolism
355,r_0259,Sphingolipid metabolism
356,r_0260,Sphingolipid metabolism
357,r_0261,Sphingolipid metabolism
358,r_0262,Sphingolipid metabolism
359,r_0263,Sphingolipid metabolism
360,r_0264,Sphingolipid metabolism
361,r_0265,Sphingolipid metabolism
362,r_0266,Sphingolipid metabolism
363,r_0267,Sphingolipid metabolism
364,r_0268,Sphingolipid metabolism
365,r_0269,Sphingolipid metabolism
366,r_0270,Sphingolipid metabolism
367,r_0271_EXP_1,Amino sugar and nucleotide sugar metabolism
368,r_0271_EXP_2,Amino sugar and nucleotide sugar metabolism
369,r_0272_EXP_1,Amino sugar and nucleotide sugar metabolism
370,r_0272_EXP_2,Amino sugar and nucleotide sugar metabolism
371,r_0272_EXP_3,Amino sugar and nucleotide sugar metabolism
372,r_0273,Glycerophospholipid metabolism
373,r_0274,Glycerophospholipid metabolism
374,r_0278,"Phenylalanine, tyrosine and tryptophan biosynthesis"
375,r_0279,"Phenylalanine, tyrosine and tryptophan biosynthesis"
376,r_0280,Citrate cycle (TCA cycle)
377,r_0280_REV,Citrate cycle (TCA cycle)
378,r_0281_EXP_1,Terpenoid backbone biosynthesis
379,r_0281_EXP_2,Terpenoid backbone biosynthesis
380,r_0282_EXP_1,Terpenoid backbone biosynthesis
381,r_0282_EXP_2,Terpenoid backbone biosynthesis
382,r_0283_EXP_1,Terpenoid backbone biosynthesis
383,r_0283_EXP_2,Terpenoid backbone biosynthesis
384,r_0284_EXP_1,Terpenoid backbone biosynthesis
385,r_0284_EXP_2,Terpenoid backbone biosynthesis
386,r_0285_EXP_1,Terpenoid backbone biosynthesis
387,r_0285_EXP_2,Terpenoid backbone biosynthesis
388,r_0286_EXP_1,Terpenoid backbone biosynthesis
389,r_0286_EXP_2,Terpenoid backbone biosynthesis
390,r_0287_EXP_1,Terpenoid backbone biosynthesis
391,r_0287_EXP_2,Terpenoid backbone biosynthesis
392,r_0288_EXP_1,Terpenoid backbone biosynthesis
393,r_0288_EXP_2,Terpenoid backbone biosynthesis
394,r_0289_EXP_1,Terpenoid backbone biosynthesis
395,r_0289_EXP_2,Terpenoid backbone biosynthesis
396,r_0290_EXP_1,Terpenoid backbone biosynthesis
397,r_0290_EXP_2,Terpenoid backbone biosynthesis
398,r_0291_EXP_1,Terpenoid backbone biosynthesis
399,r_0291_EXP_2,Terpenoid backbone biosynthesis
400,r_0292_EXP_1,Terpenoid backbone biosynthesis
401,r_0292_EXP_2,Terpenoid backbone biosynthesis
402,r_0293_EXP_1,Terpenoid backbone biosynthesis
403,r_0293_EXP_2,Terpenoid backbone biosynthesis
404,r_0294_EXP_1,Terpenoid backbone biosynthesis
405,r_0294_EXP_2,Terpenoid backbone biosynthesis
406,r_0294_REV_EXP_1,Terpenoid backbone biosynthesis
407,r_0294_REV_EXP_2,Terpenoid backbone biosynthesis
408,r_0295_EXP_1,Terpenoid backbone biosynthesis
409,r_0295_EXP_2,Terpenoid backbone biosynthesis
410,r_0295_REV_EXP_1,Terpenoid backbone biosynthesis
411,r_0295_REV_EXP_2,Terpenoid backbone biosynthesis
412,r_0296_EXP_1,Terpenoid backbone biosynthesis
413,r_0296_EXP_2,Terpenoid backbone biosynthesis
414,r_0297_EXP_1,Terpenoid backbone biosynthesis
415,r_0297_EXP_2,Terpenoid backbone biosynthesis
416,r_0298_EXP_1,Terpenoid backbone biosynthesis
417,r_0298_EXP_2,Terpenoid backbone biosynthesis
418,r_0299_EXP_1,Terpenoid backbone biosynthesis
419,r_0299_EXP_2,Terpenoid backbone biosynthesis
420,r_0300_EXP_1,Citrate cycle (TCA cycle)
421,r_0300_EXP_2,Citrate cycle (TCA cycle)
422,r_0301,Citrate cycle (TCA cycle)
423,r_0302,Citrate cycle (TCA cycle)
424,r_0302_REV,Citrate cycle (TCA cycle)
425,r_0303,Citrate cycle (TCA cycle)
426,r_0303_REV,Citrate cycle (TCA cycle)
427,r_0304,Porphyrin and chlorophyll metabolism
428,r_0306_EXP_1,Pyrimidine metabolism
429,r_0306_EXP_2,Pyrimidine metabolism
430,r_0307_EXP_1,Pyrimidine metabolism
431,r_0307_EXP_2,Pyrimidine metabolism
432,r_0308_EXP_1,Cysteine and methionine metabolism
433,r_0308_EXP_2,Cysteine and methionine metabolism
434,r_0309,"Glycine, serine and threonine metabolism"
435,r_0310,Cysteine and methionine metabolism
436,r_0311,Cysteine and methionine metabolism
437,r_0312,Cysteine and methionine metabolism
438,r_0313,tRNA metabolism
439,r_0314,Pyrimidine metabolism
440,r_0315,Pyrimidine metabolism
441,r_0317,Steroid biosynthesis
442,r_0318,Pyrimidine metabolism
443,r_0319,Alternate carbon metabolism
444,r_0320,Alternate carbon metabolism
445,r_0321,Alternate carbon metabolism
446,r_0322,Glycolysis / gluconeogenesis
447,r_0322_REV,Glycolysis / gluconeogenesis
448,r_0323_EXP_1,Fructose and mannose metabolism
449,r_0323_EXP_2,Fructose and mannose metabolism
450,r_0326,Pyrimidine metabolism
451,r_0326_REV,Pyrimidine metabolism
452,r_0327,Pyrimidine metabolism
453,r_0328,Purine metabolism
454,r_0329,Pyrimidine metabolism
455,r_0330,Purine metabolism
456,r_0330_REV,Purine metabolism
457,r_0331,Arginine and proline metabolism
458,r_0332,Pentose phosphate pathway
459,r_0334,Pantothenate and coa biosynthesis
460,r_0335,Biotin metabolism
461,r_0335_REV,Biotin metabolism
462,r_0340,Sphingolipid metabolism
463,r_0340_REV,Sphingolipid metabolism
464,r_0341,Sphingolipid metabolism
465,r_0341_REV,Sphingolipid metabolism
466,r_0342,Sphingolipid metabolism
467,r_0343,Sphingolipid metabolism
468,r_0344,Folate biosynthesis
469,r_0345,Folate biosynthesis
470,r_0346,Folate biosynthesis
471,r_0347,Folate biosynthesis
472,r_0348,Folate biosynthesis
473,r_0349,Pyrimidine metabolism
474,r_0349_REV,Pyrimidine metabolism
475,r_0350,Folate biosynthesis
476,r_0351,Folate biosynthesis
477,r_0352,"Valine, leucine and isoleucine metabolism"
478,r_0353,"Valine, leucine and isoleucine metabolism"
479,r_0354_EXP_1,Glycerolipid metabolism
480,r_0354_EXP_2,Glycerolipid metabolism
481,r_0355,Terpenoid backbone biosynthesis
482,r_0356,Glycolysis / gluconeogenesis
483,r_0356_REV,Glycolysis / gluconeogenesis
484,r_0357,Inositol phosphate metabolism
485,r_0358,Phosphatidylinositol signaling system
486,r_0359,Cysteine and methionine metabolism
487,r_0360,N-glycan biosynthesis
488,r_0361,N-glycan biosynthesis
489,r_0362_EXP_1,N-glycan biosynthesis
490,r_0362_EXP_2,N-glycan biosynthesis
491,r_0362_EXP_3,N-glycan biosynthesis
492,r_0362_EXP_4,N-glycan biosynthesis
493,r_0363,Pyrimidine metabolism
494,r_0364_EXP_1,Pyrimidine metabolism
495,r_0364_EXP_2,Pyrimidine metabolism
496,r_0365,Pentose and glucuronate interconversions
497,r_0366_EXP_1,Glycolysis / gluconeogenesis
498,r_0366_EXP_2,Glycolysis / gluconeogenesis
499,r_0366_EXP_3,Glycolysis / gluconeogenesis
500,r_0366_EXP_4,Glycolysis / gluconeogenesis
501,r_0366_EXP_5,Glycolysis / gluconeogenesis
502,r_0366_REV_EXP_1,Glycolysis / gluconeogenesis
503,r_0366_REV_EXP_2,Glycolysis / gluconeogenesis
504,r_0366_REV_EXP_3,Glycolysis / gluconeogenesis
505,r_0366_REV_EXP_4,Glycolysis / gluconeogenesis
506,r_0366_REV_EXP_5,Glycolysis / gluconeogenesis
507,r_0368_EXP_1,Glycerophospholipid metabolism
508,r_0368_EXP_2,Glycerophospholipid metabolism
509,r_0369,Complex alcohol metabolism
510,r_0370_EXP_1,Starch and sucrose metabolism
511,r_0370_EXP_2,Starch and sucrose metabolism
512,r_0370_EXP_3,Starch and sucrose metabolism
513,r_0370_EXP_4,Starch and sucrose metabolism
514,r_0370_EXP_5,Starch and sucrose metabolism
515,r_0373,Terpenoid backbone biosynthesis
516,r_0399,Fatty acid biosynthesis
517,r_0399_REV,Fatty acid biosynthesis
518,r_0400,Fatty acid biosynthesis
519,r_0400_REV,Fatty acid biosynthesis
520,r_0402,Fatty acid biosynthesis
521,r_0402_REV,Fatty acid biosynthesis
522,r_0410,Fatty acid biosynthesis
523,r_0410_REV,Fatty acid biosynthesis
524,r_0412,Fatty acid biosynthesis
525,r_0412_REV,Fatty acid biosynthesis
526,r_0436,Porphyrin and chlorophyll metabolism
527,r_0437_EXP_1,Oxidative phosphorylation
528,r_0437_EXP_2,Oxidative phosphorylation
529,r_0438_EXP_1,Oxidative phosphorylation
530,r_0438_EXP_2,Oxidative phosphorylation
531,r_0438_EXP_3,Oxidative phosphorylation
532,r_0438_EXP_4,Oxidative phosphorylation
533,r_0438_EXP_5,Oxidative phosphorylation
534,r_0439_EXP_1,Oxidative phosphorylation
535,r_0439_EXP_2,Oxidative phosphorylation
536,r_0440,Riboflavin metabolism
537,r_0441,Riboflavin metabolism
538,r_0442,Riboflavin metabolism
539,r_0443,Tyrosine metabolism
540,r_0445,Glyoxylate and dicarboxylate metabolism
541,r_0446,One carbon pool by folate
542,r_0447,One carbon pool by folate
543,r_0447_REV,One carbon pool by folate
544,r_0448_EXP_1,Fructose and mannose metabolism
545,r_0448_EXP_2,Fructose and mannose metabolism
546,r_0449,Glycolysis / gluconeogenesis
547,r_0450,Glycolysis / gluconeogenesis
548,r_0450_REV,Glycolysis / gluconeogenesis
549,r_0451,Citrate cycle (TCA cycle)
550,r_0451_REV,Citrate cycle (TCA cycle)
551,r_0452,Citrate cycle (TCA cycle)
552,r_0452_REV,Citrate cycle (TCA cycle)
553,r_0453,Pyrimidine metabolism
554,r_0454,Citrate cycle (TCA cycle)
555,r_0454_REV,Citrate cycle (TCA cycle)
556,r_0455,Cellular response to anaerobic conditions
557,r_0455_REV,Cellular response to anaerobic conditions
558,r_0457,Glutathione metabolism
559,r_0458,Galactose metabolism
560,r_0459,Galactose metabolism
561,r_0460,Glutathione metabolism
562,r_0461,Ubiquinone and other terpenoid-quinone biosynthesis
563,r_0462,Terpenoid backbone biosynthesis
564,r_0463,Starch and sucrose metabolism
565,r_0464,Starch and sucrose metabolism
566,r_0465,Amino sugar and nucleotide sugar metabolism
567,r_0466,Pentose phosphate pathway
568,r_0467,Glycolysis / gluconeogenesis
569,r_0467_REV,Glycolysis / gluconeogenesis
570,r_0468,Arginine and proline metabolism
571,r_0469,"Alanine, aspartate and glutamate metabolism"
572,r_0470,"Alanine, aspartate and glutamate metabolism"
573,r_0471_EXP_1,"Alanine, aspartate and glutamate metabolism"
574,r_0471_EXP_2,"Alanine, aspartate and glutamate metabolism"
575,r_0472,"Alanine, aspartate and glutamate metabolism"
576,r_0473,Arginine and proline metabolism
577,r_0475_EXP_1,"Alanine, aspartate and glutamate metabolism"
578,r_0475_EXP_2,"Alanine, aspartate and glutamate metabolism"
579,r_0476,"Alanine, aspartate and glutamate metabolism"
580,r_0477_EXP_1,"Alanine, aspartate and glutamate metabolism"
581,r_0477_EXP_2,"Alanine, aspartate and glutamate metabolism"
582,r_0478,tRNA metabolism
583,r_0479,tRNA metabolism
584,r_0480,tRNA metabolism
585,r_0481_EXP_1,Glutathione metabolism
586,r_0481_EXP_2,Glutathione metabolism
587,r_0481_EXP_3,Glutathione metabolism
588,r_0481_EXP_4,Glutathione metabolism
589,r_0482,Glutathione metabolism
590,r_0483_EXP_1,Glutathione metabolism
591,r_0483_EXP_2,Glutathione metabolism
592,r_0483_EXP_3,Glutathione metabolism
593,r_0483_EXP_4,Glutathione metabolism
594,r_0483_EXP_5,Glutathione metabolism
595,r_0483_EXP_6,Glutathione metabolism
596,r_0484,Glutathione metabolism
597,r_0485,Glutathione metabolism
